culture,house,origin
,Alchemists' Guild,Noble
,Antler Men,Peasant
Tyroshi,Band of Nine,Foreign Peasant
,Black Ears,Peasant
Vale mountain clans,Black Ears,Outlaw
,Blacks,House Targaryen
Qohor,Brave Companions,Outlaw
Dothraki,Brave Companions,Dothraki
Dornish,Brave Companions,House Martell
,Brave Companions,Outlaw
Ibbenese,Brave Companions,Foreign Peasant
,Brotherhood Without Banners,Outlaw
,Brotherhood without Banners,Outlaw
,Brotherhood without banners,Outlaw
Tyroshi,Brotherhood without banners,Outlaw
Vale mountain clans,Burned Men,Outlaw
Summer Isles,Chataya's brothel,Foreign Peasant
,Chataya's brothel,Peasant
,Citadel,Noble
,City Watch of King's Landing,Soldier
,Company of the Cat,Outlaw
Ironmen,Drowned men,House Greyjoy
Ironborn,Drowned men,House Greyjoy
,Faceless Men,Outlaw
,Faith of the Seven,Soldier
Lyseni,Golden Company,Foreign Peasant
Summer Islander,Golden Company,Foreign Peasant
Astapori,Good Masters,Foreign Noble
Astapor,Good Masters,Foreign Noble
Ghiscari,Graces,Foreign Peasant
Braavosi,Happy Port,Foreing Peasant
,Happy Port,Peasant
Dornish,House Allyrion,House Martell
,House Ambrose,House Tyrell
,House Arryn,House Arryn
Valemen,House Arryn,House Arryn
Vale,House Arryn,House Arryn
Reach,House Ashford,House Tyrell
,House Ashford,House Tyrell
,House Baelish,Noble
Valemen,House Baelish,House Arryn
,House Ball,House Targaryen
,House Banefort,House Lannister
,House Bar Emmon,House Targaryen
,House Baratheon,House Baratheon
Stormlands,House Baratheon,House Baratheon
Lysene,House Baratheon of Dragonstone,House Baratheon
,House Baratheon of Dragonstone,House Baratheon
,House Baratheon of King's Landing,House Baratheon
,House Beesbury,House Tyrell
,House Belmore,House Arryn
,House Bettley,Noble
,House Blackbar,House Tyrell
,House Blackberry,Peasant
,House Blackfyre,House Targaryen
Valyrian,House Blackfyre,House Targaryen
Dornish,House Blackmont,House Martell
,House House Greyjoy,House Greyjoy
Ironborn,House Blacktyde,House Greyjoy
,House Blackwood,House Tully
,House Blanetree,House Tully
,House Blount,House Baratheon
,House Boggs,Noble
,House Bolling,House Tully
,House Bolton,House Bolton
Westeros,House Bolton,House Bolton
northmen,House Bolton,House Bolton
Northmen,House Bolton,House Stark
Northmen,House Bolton of the Dreadfort,House Stark
Sistermen,House Borrell,House Arryn
,House Botley,House Greyjoy
Ironborn,House Botley,House Greyjoy
,House Bracken,House Tully
,House Brax,House Lannister
,House Broom,Noble
,House Brune of Brownhollow,House Arryn
,House Brune of the Dyre Den,House Arryn
,House Buckler,House Baratheon
,House Bulwer,House Tyrell
,House Bushy,Noble
,House Butterwell,House Targaryen
,House Byrch,Noble
,House Bywater,House Baratheon
,House Cafferen,House Baratheon
,House Caron,House Baratheon
Northmen,House Cassel,House Stark
,House Caswell,House Tyrell
,House Celtigar,House Baratheon
Northmen,House Cerwyn,House Stark
,House Charlton,House Frey
,House Chelsted,Noble
